Car_Name,Year of buying,owner,seats,engine,max_power,torque,mileage(kmph),fuel type,fuel_unitPrice,pickup location,drop location,travelling distance(km),total_litres,fuel price,owner_name,car_number,price
Car_0,2021,Third Owner,7,2000 CC,101 bhp,150 Nm,18,Diesel,101,Howrah,Park Street,205,9,1453,Owner_0,WB0000,1201.5
Car_1,2018,Third Owner,7,1500 CC,144 bhp,150 Nm,23,Diesel,91,Park Street,Behala,120,12,727,Owner_1,WB0001,827.0
Car_2,2022,Third Owner,5,1200 CC,77 bhp,150 Nm,21,CNG,92,Howrah,Dumdum,267,13,719,Owner_2,WB0002,1500.5
Car_3,2019,First Owner,7,1200 CC,141 bhp,150 Nm,13,CNG,107,Howrah,Salt Lake,98,6,798,Owner_3,WB0003,809.0
Car_4,2021,Second Owner,4,2000 CC,114 bhp,150 Nm,22,Diesel,90,Howrah,Behala,207,15,504,Owner_4,WB0004,1210.5
Car_5,2017,First Owner,7,2000 CC,128 bhp,150 Nm,15,CNG,109,Park Street,Behala,291,11,1095,Owner_5,WB0005,1677.5
Car_6,2021,Third Owner,7,1200 CC,73 bhp,150 Nm,13,Petrol,95,Dumdum,Park Street,209,5,1416,Owner_6,WB0006,1157.5
Car_7,2022,First Owner,7,1500 CC,136 bhp,150 Nm,17,Petrol,94,Park Street,Dumdum,108,5,729,Owner_7,WB0007,749.0
Car_8,2019,Third Owner,4,1200 CC,98 bhp,150 Nm,19,Petrol,90,Howrah,Salt Lake,36,8,1059,Owner_8,WB0008,372.0
Car_9,2018,Third Owner,5,2000 CC,98 bhp,150 Nm,21,CNG,108,Salt Lake,Dumdum,98,14,1470,Owner_9,WB0009,827.0
Car_10,2022,First Owner,4,1200 CC,97 bhp,150 Nm,15,Diesel,90,Behala,Park Street,155,11,998,Owner_10,WB0010,934.5
Car_11,2022,Third Owner,5,2000 CC,146 bhp,150 Nm,16,CNG,105,Howrah,Howrah,191,6,1220,Owner_11,WB0011,1085.5
Car_12,2017,Second Owner,5,2000 CC,148 bhp,150 Nm,15,CNG,101,Salt Lake,Behala,266,15,1040,Owner_12,WB0012,1558.0
Car_13,2020,Third Owner,7,1200 CC,113 bhp,150 Nm,14,Diesel,97,Dumdum,Salt Lake,198,6,713,Owner_13,WB0013,1159.0
Car_14,2019,Second Owner,5,1500 CC,73 bhp,150 Nm,16,Diesel,105,Howrah,Howrah,249,5,861,Owner_14,WB0014,1460.5
Car_15,2016,Second Owner,4,1800 CC,78 bhp,150 Nm,20,Diesel,90,Salt Lake,Park Street,205,14,885,Owner_15,WB0015,1170.5
Car_16,2022,Third Owner,4,1200 CC,74 bhp,150 Nm,19,Petrol,93,Howrah,Dumdum,174,6,809,Owner_16,WB0016,1038.0
Car_17,2020,First Owner,5,1800 CC,125 bhp,150 Nm,19,CNG,99,Park Street,Behala,280,17,426,Owner_17,WB0017,1599.0
Car_18,2016,Second Owner,7,1200 CC,119 bhp,150 Nm,19,Diesel,100,Salt Lake,Salt Lake,17,19,1452,Owner_18,WB0018,206.5
Car_19,2019,First Owner,7,1800 CC,144 bhp,150 Nm,23,CNG,106,Park Street,Howrah,47,11,670,Owner_19,WB0019,403.5
Car_20,2015,Second Owner,4,1500 CC,84 bhp,150 Nm,19,Petrol,96,Park Street,Howrah,123,13,1085,Owner_20,WB0020,885.5
Car_21,2020,Third Owner,7,1500 CC,101 bhp,150 Nm,18,Petrol,101,Salt Lake,Behala,65,10,900,Owner_21,WB0021,572.5
Car_22,2023,Third Owner,5,1200 CC,97 bhp,150 Nm,19,Diesel,96,Behala,Dumdum,147,14,784,Owner_22,WB0022,1044.5
Car_23,2015,Second Owner,5,2000 CC,91 bhp,150 Nm,22,Diesel,101,Salt Lake,Park Street,111,6,459,Owner_23,WB0023,796.5
Car_24,2017,Third Owner,4,1800 CC,86 bhp,150 Nm,19,CNG,104,Behala,Dumdum,186,16,619,Owner_24,WB0024,1062.0
Car_25,2021,Second Owner,5,2000 CC,128 bhp,150 Nm,24,Diesel,91,Howrah,Dumdum,178,19,1170,Owner_25,WB0025,997.0
Car_26,2018,Third Owner,4,2000 CC,140 bhp,150 Nm,19,CNG,103,Howrah,Dumdum,295,14,963,Owner_26,WB0026,1668.5
Car_27,2023,First Owner,5,2000 CC,126 bhp,150 Nm,23,Diesel,102,Salt Lake,Behala,270,19,945,Owner_27,WB0027,1549.0
Car_28,2017,Third Owner,4,1500 CC,95 bhp,150 Nm,21,CNG,93,Howrah,Behala,232,14,495,Owner_28,WB0028,1342.0
Car_29,2019,First Owner,7,1200 CC,94 bhp,150 Nm,18,CNG,103,Dumdum,Park Street,208,17,1388,Owner_29,WB0029,1234.0
Car_30,2017,Third Owner,5,1200 CC,79 bhp,150 Nm,23,CNG,103,Park Street,Dumdum,220,13,1227,Owner_30,WB0030,1227.0
Car_31,2021,First Owner,5,1500 CC,114 bhp,150 Nm,12,CNG,105,Park Street,Behala,296,11,630,Owner_31,WB0031,1677.0
Car_32,2019,Third Owner,4,1500 CC,80 bhp,150 Nm,15,Petrol,96,Behala,Park Street,189,15,1367,Owner_32,WB0032,1068.5
Car_33,2023,First Owner,4,1200 CC,146 bhp,150 Nm,24,CNG,108,Howrah,Park Street,259,5,674,Owner_33,WB0033,1489.5
Car_34,2021,Second Owner,5,2000 CC,122 bhp,150 Nm,24,Diesel,91,Behala,Dumdum,240,16,645,Owner_34,WB0034,1324.0
Car_35,2016,Second Owner,4,1800 CC,141 bhp,150 Nm,15,Petrol,99,Park Street,Salt Lake,32,13,510,Owner_35,WB0035,364.0
Car_36,2018,First Owner,5,1800 CC,137 bhp,150 Nm,16,Petrol,107,Park Street,Dumdum,57,6,633,Owner_36,WB0036,523.5
Car_37,2023,Third Owner,7,1800 CC,97 bhp,150 Nm,21,CNG,106,Howrah,Salt Lake,118,8,816,Owner_37,WB0037,808.0
Car_38,2016,First Owner,4,2000 CC,144 bhp,150 Nm,17,Petrol,94,Dumdum,Park Street,15,13,1077,Owner_38,WB0038,210.5
Car_39,2023,Third Owner,5,1200 CC,134 bhp,150 Nm,15,CNG,101,Dumdum,Behala,47,8,1202,Owner_39,WB0039,492.5
Car_40,2019,Second Owner,7,1500 CC,118 bhp,150 Nm,13,Diesel,95,Howrah,Howrah,178,7,1018,Owner_40,WB0040,983.0
